rollout/exploration_rate,time/fps,time/episodes,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,train/loss,train/n_updates,train/learning_rate
0.7610256,159,15160,125776,787,2.02,242.41,0.07916219532489777,4735,5e-05
0.7609496,159,15164,125816,788,2.02,242.41,0.061298612505197525,4738,5e-05
0.7608736,159,15168,125856,788,2.03,242.54,0.07661673426628113,4740,5e-05
0.7608356000000001,159,15172,125876,788,2.05,243.6,0.1035664826631546,4742,5e-05
0.7607824,159,15176,125904,788,2.04,242.81,0.1351945400238037,4743,5e-05
0.7607443999999999,159,15180,125924,789,2.02,241.96,0.08363201469182968,4745,5e-05
0.7606684000000001,159,15184,125964,789,2.0,240.95,0.10580255091190338,4747,5e-05
0.7605924,159,15188,126004,789,2.0,240.95,0.1727256029844284,4750,5e-05
0.7605011999999999,159,15192,126052,790,2.0,240.95,0.16665618121623993,4753,5e-05
0.7604707999999999,159,15196,126068,790,1.97,239.82,0.07513576745986938,4754,5e-05
0.760334,159,15200,126140,790,2.01,240.85,0.08523261547088623,4758,5e-05
0.7602959999999999,159,15204,126160,790,2.01,240.85,0.06890492141246796,4759,5e-05
0.7602124,159,15208,126204,791,2.04,241.65,0.11496736854314804,4762,5e-05
0.7601668,159,15212,126228,791,2.04,241.65,0.09125842154026031,4764,5e-05
0.7600756,159,15216,126276,791,2.05,241.89,0.10393355041742325,4767,5e-05
0.7599692,159,15220,126332,792,2.08,242.76,0.07881095260381699,4770,5e-05
0.7598704,159,15224,126384,792,2.09,243.06,0.09859402477741241,4773,5e-05
0.7598248000000001,159,15228,126408,792,2.09,243.06,0.04696883261203766,4775,5e-05
0.7597564,159,15232,126444,793,2.09,243.06,0.10891343653202057,4777,5e-05
0.7597107999999999,159,15236,126468,793,2.1,243.71,0.08308999985456467,4779,5e-05
0.7596272000000001,159,15240,126512,793,2.1,243.71,0.16743379831314087,4781,5e-05
0.7595664,159,15244,126544,793,2.11,244.33,0.1355653554201126,4783,5e-05
0.7595284,159,15248,126564,794,2.08,243.06,0.12972547113895416,4785,5e-05
0.7594751999999999,159,15252,126592,794,2.08,243.06,0.10945305228233337,4786,5e-05
0.759422,159,15256,126620,794,2.08,243.06,0.11158818006515503,4788,5e-05
0.7593612000000001,159,15260,126652,794,2.06,242.4,0.09487548470497131,4790,5e-05
0.7592852,159,15264,126692,795,2.06,242.28,0.0546257421374321,4793,5e-05
0.7592243999999999,159,15268,126724,795,2.06,242.15,0.13449591398239136,4795,5e-05
0.7591636,159,15272,126756,795,2.06,242.15,0.14135494828224182,4797,5e-05
0.7590876,159,15276,126796,796,2.04,241.6,0.05751146376132965,4799,5e-05
0.758928,159,15280,126880,796,2.04,241.6,0.060587283223867416,4804,5e-05
0.7588976000000001,159,15284,126896,796,2.07,242.93,0.0402798093855381,4805,5e-05
0.7588444,159,15288,126924,797,2.1,243.3,0.13662485778331757,4807,5e-05
0.7587760000000001,159,15292,126960,797,2.1,243.3,0.12519115209579468,4809,5e-05
0.7587,159,15296,127000,797,2.11,243.62,0.14551161229610443,4812,5e-05
0.758624,159,15300,127040,798,2.1,243.23,0.0620843879878521,4814,5e-05
0.7585708000000001,159,15304,127068,798,2.1,243.23,0.16493558883666992,4816,5e-05
0.758472,159,15308,127120,798,2.12,243.96,0.1334843635559082,4819,5e-05
0.7584188,159,15312,127148,798,2.14,244.54,0.06051991134881973,4821,5e-05
0.7583808000000001,159,15316,127168,799,2.14,244.54,0.08913532644510269,4822,5e-05
0.758282,159,15320,127220,799,2.14,244.56,0.09126310795545578,4826,5e-05
0.7582363999999999,159,15324,127244,799,2.16,245.28,0.13476033508777618,4827,5e-05
0.7581756000000002,159,15328,127276,799,2.17,245.72,0.07447751611471176,4829,5e-05
0.7580996,159,15332,127316,800,2.17,245.72,0.08014103770256042,4832,5e-05
0.7580388,159,15336,127348,800,2.15,245.05,0.1136753261089325,4834,5e-05
0.7579856000000001,159,15340,127376,800,2.15,245.05,0.06848064064979553,4835,5e-05
0.7579248000000001,159,15344,127408,800,2.15,245.05,0.13099665939807892,4837,5e-05
0.7578336,159,15348,127456,801,2.16,245.77,0.043705567717552185,4840,5e-05
0.7577727999999999,159,15352,127488,801,2.16,245.77,0.1343480497598648,4842,5e-05
0.7576968000000001,159,15356,127528,801,2.16,245.74,0.08662533760070801,4845,5e-05
0.7576512,159,15360,127552,802,2.16,245.74,0.12066057324409485,4846,5e-05
0.757598,159,15364,127580,802,2.15,245.4,0.07378002256155014,4848,5e-05
0.7575371999999999,159,15368,127612,802,2.15,245.31,0.06496424227952957,4850,5e-05
0.7574156,158,15372,127676,803,2.11,243.65,0.07004470378160477,4854,5e-05
0.7573776,158,15376,127696,803,2.11,243.65,0.0538969486951828,4855,5e-05
0.7572408,158,15380,127768,803,2.11,244.07,0.07176164537668228,4860,5e-05
0.7571876,158,15384,127796,804,2.12,244.47,0.10743652284145355,4862,5e-05
0.7570812,158,15388,127852,804,2.12,244.47,0.10576440393924713,4865,5e-05
0.7570052,158,15392,127892,804,2.12,244.47,0.07793567329645157,4868,5e-05
0.7568760000000001,158,15396,127960,805,2.15,245.62,0.09038425981998444,4872,5e-05
0.7568,158,15400,128000,805,2.15,245.62,0.06150665134191513,4874,5e-05
0.7567392,158,15404,128032,805,2.17,246.36,0.10271355509757996,4876,5e-05
0.7567012,158,15408,128052,806,2.17,246.68,0.06698882579803467,4878,5e-05
0.7566632000000001,158,15412,128072,806,2.17,246.68,0.1291981190443039,4879,5e-05
0.75661,158,15416,128100,806,2.17,246.68,0.09234531223773956,4881,5e-05
0.7565339999999999,158,15420,128140,806,2.15,245.98,0.06812886893749237,4883,5e-05
0.7565036000000002,158,15424,128156,806,2.15,245.98,0.1422504484653473,4884,5e-05
0.7564655999999998,158,15428,128176,807,2.15,245.98,0.12162712961435318,4885,5e-05
0.7563896,158,15432,128216,807,2.14,245.78,0.05627456679940224,4888,5e-05
0.7563287999999999,158,15436,128248,807,2.15,245.93,0.09665270149707794,4890,5e-05
0.7562755999999999,158,15440,128276,807,2.15,245.93,0.10375954210758209,4892,5e-05
0.7561996,158,15444,128316,808,2.16,246.16,0.12098579108715057,4894,5e-05
0.7560931999999999,158,15448,128372,808,2.16,245.97,0.05179423838853836,4898,5e-05
0.7560551999999999,158,15452,128392,808,2.18,246.71,0.0635797530412674,4899,5e-05
0.7559640000000001,158,15456,128440,809,2.19,247.06,0.09133321791887283,4902,5e-05
0.7558728000000001,158,15460,128488,809,2.19,247.12,0.08193495869636536,4905,5e-05
0.7558499999999999,158,15464,128500,809,2.19,247.12,0.053811587393283844,4906,5e-05
0.7557436,158,15468,128556,810,2.21,247.74,0.09870149940252304,4909,5e-05
0.7556904,158,15472,128584,810,2.2,247.17,0.06904929876327515,4911,5e-05
0.7556372000000001,158,15476,128612,810,2.2,247.17,0.10023896396160126,4913,5e-05
0.755584,158,15480,128640,810,2.2,246.7,0.12708573043346405,4914,5e-05
0.7554776,158,15484,128696,811,2.24,247.84,0.06587790697813034,4918,5e-05
0.7554395999999999,158,15488,128716,811,2.23,247.28,0.04593762010335922,4919,5e-05
0.7553940000000001,158,15492,128740,811,2.23,247.28,0.05807303637266159,4921,5e-05
0.7552951999999999,158,15496,128792,812,2.23,247.28,0.05083763599395752,4924,5e-05
0.7552116000000001,158,15500,128836,812,2.23,247.47,0.059646107256412506,4927,5e-05
0.7551584,158,15504,128864,812,2.22,247.1,0.09953292459249496,4928,5e-05
0.7550444,158,15508,128924,813,2.22,246.8,0.06890185922384262,4932,5e-05
0.7549987999999999,158,15512,128948,813,2.22,246.8,0.08775569498538971,4934,5e-05
0.7549304,158,15516,128984,813,2.26,248.32,0.09858451038599014,4936,5e-05
0.7548543999999999,158,15520,129024,813,2.21,246.39,0.0788813903927803,4938,5e-05
0.7548164000000002,158,15524,129044,814,2.21,246.39,0.10694979131221771,4940,5e-05
0.7547632000000001,158,15528,129072,814,2.21,246.39,0.1580265462398529,4941,5e-05
0.7547252,158,15532,129092,814,2.21,247.01,0.18156296014785767,4943,5e-05
0.7546492,158,15536,129132,814,2.21,247.01,0.07418714463710785,4945,5e-05
0.7546035999999999,158,15540,129156,815,2.2,246.99,0.05017746239900589,4947,5e-05
0.7545580000000001,158,15544,129180,815,2.2,246.99,0.04116817191243172,4948,5e-05
0.7544972000000001,158,15548,129212,815,2.18,246.56,0.15573608875274658,4950,5e-05
0.7543831999999999,158,15552,129272,816,2.15,245.21,0.06280069053173065,4954,5e-05
0.7543148000000001,158,15556,129308,816,2.13,244.54,0.07122158259153366,4956,5e-05
0.7542084,158,15560,129364,816,2.13,244.54,0.1247134655714035,4960,5e-05
0.7541475999999999,158,15564,129396,817,2.12,244.59,0.10003501176834106,4962,5e-05
